n,p,ak,bk,bs,k0,k1
3,5,0.022068878218770585,0.3366061453088984,0.7683523489884762,0.6695145787323699,0.7496564381718338
4,3,0.013313502617682764,0.3146550047486683,0.8253567331141768,0.6110544065059889,0.7763950419090171
3,5,0.044016197500774165,0.33069212258807285,0.6679611348012411,0.6472902010814244,0.7258101137157975
2,4,0.006238688387141269,0.3959454866137313,0.8091697556738304,0.7336328756652102,0.631993428941917
3,3,0.015096404518216124,0.13810646723112466,0.7622896428587226,0.2627582506992764,0.3689185666272476
3,5,0.014362472038577084,0.4286932405218969,0.7373109591846223,0.45040423033054355,0.38063268527850425
2,3,0.003275033442870335,0.36234443734136335,0.879527195470267,0.6716169519402129,0.5995695392834145
3,4,0.0328797403990425,0.4496926085742938,0.6760744969183041,0.5625870309767378,0.5027162541069476
4,5,0.039153243814794306,0.3049929871084515,0.6380284118966033,0.47083445284343584,0.5181312025801493
4,4,0.042167485184551164,0.23225544570892076,0.6664762042246715,0.3828284964568629,0.44410752582701896
4,4,0.026317493385967717,0.2155370615085362,0.8024725001652708,0.4851679987887787,0.6219541672903369
4,5,0.002738066092903178,0.3724378449716401,0.9681595298686154,0.7765427721151912,0.7463446216711878
3,5,0.0064163162813280035,0.2561852418429739,0.8779635894044512,0.41835187252193423,0.43255817654442075
2,5,0.0015937072496999298,0.33198364241205114,0.9051130863031576,0.7462572501384555,0.6005646681925485
3,4,0.01638379701504561,0.40670635808231415,0.7499432012684097,0.38990877410406555,0.30287236519868627
4,5,0.01258969346344813,0.33930607261100687,0.8348879327406669,0.5103139234810437,0.5632894970100978
5,4,0.023961566727461702,0.29687736853177116,0.7090602560195041,0.5753415550572649,0.7511868523125889
3,4,0.00779085034128739,0.4001211065146518,0.9032157362414092,0.7351262134694592,0.6537242767887406
4,5,0.004585427693728602,0.15836415358673883,0.9128802044220758,0.31837320875303643,0.38181155030850866
4,5,0.027172790669156014,0.40889385107993115,0.7934103759520912,0.719007245504943,0.7893874892167048
5,4,0.024049646626582724,0.275440052886774,0.7819251252533084,0.5397491760395514,0.6651542225990166
3,5,0.0028575894050766933,0.24334497452022963,0.8959813617424228,0.33146834584427476,0.32737325403136497
2,4,0.002945271153454167,0.2688796400216826,0.9130377757585608,0.7500889729726836,0.6962120908456233
4,5,0.032065665117267626,0.24846604284532176,0.641518470116846,0.2820051696646603,0.2682140531563451
3,5,0.023906023485074274,0.3433737146248475,0.656070272204177,0.5546615650865121,0.6276897901782684
3,5,0.006448161834360404,0.428998313215631,0.873445250228005,0.5953348227143729,0.5212037281864133
3,5,0.019138511863321356,0.45615106772438485,0.8220693944970641,0.7774858426516693,0.7180662295893643
4,5,0.02183257567704589,0.3002328225172264,0.6868853046720265,0.5177251933229254,0.6448531249633669
3,4,0.007518386479204231,0.1599282678345326,0.9179197022911862,0.537891426428308,0.6681549673647638
3,5,0.02409862746401994,0.4658375534699438,0.681287425260639,0.6199961725447952,0.5719064427032006
2,5,0.005025417250558651,0.4489800573191956,0.6798509518371016,0.5201429180771346,0.32941832839748303
3,5,0.0026914858765898202,0.2828188210780916,0.7481620845455841,0.5551679878687712,0.7037464697926057
3,5,0.002190515583943096,0.2704971480728192,0.7351834610852952,0.2799720882003047,0.26743185825109245
4,4,0.0010113147686105568,0.28098422081995683,0.7449211259787458,0.5235238324251318,0.7523252999744718
3,5,0.004234352402722019,0.4213556616265543,0.9093609175241825,0.7855941538743916,0.7179412764251945
5,5,0.009637771008039153,0.3065973490030908,0.8839256181258386,0.6445123764177767,0.7295457175146951
4,4,0.010426607113370998,0.3514152234848988,0.8908684940764849,0.5918029442219752,0.6468548011615198
2,4,0.0037521720466710687,0.46325546756322783,0.7772842223654413,0.6628340966269402,0.4984014269516697
4,5,0.03790679925539715,0.45328043391058886,0.7345590492392177,0.5623533823102554,0.4956711723005812
4,4,0.0047969131448408345,0.2041586451372987,0.9044703866861343,0.5542543566402289,0.7353739001467512
2,5,0.009383671654145755,0.4369730638128734,0.6604144927215518,0.7367972271709815,0.6897170670475885
4,4,0.011352869991174703,0.12028055696639789,0.9084965553536575,0.4607185437588675,0.6587874480985434
3,2,0.004368460004949856,0.251945804058166,0.9304699774609778,0.47800011811597426,0.6568275533064755
3,4,0.0018088819642607568,0.4176535340959426,0.9474636641050357,0.7258378132663259,0.6426296549500263
4,5,0.029373475120337705,0.22311048020428925,0.669367201619901,0.2820200196594978,0.281614904390107
3,5,0.013871461196676323,0.4621244199199584,0.7889946927290582,0.6968873651142597,0.610850108889982
4,5,0.03496708996541211,0.32983689543036687,0.7470982677487708,0.6396103469623835,0.7402037444841922
2,3,0.01038015011079596,0.3388106633674551,0.7987574796268686,0.6466240915991861,0.6060738115820002
3,5,0.010105404006658141,0.29072599989248626,0.8827270843866253,0.5694528635186734,0.4653396785464244
2,3,0.0010142590747105919,0.40092586196035,0.8967680351302085,0.7179575425253615,0.6050728143358645
3,4,0.009846177836321367,0.42456976659577944,0.8726978879671318,0.6239714625641428,0.6101641676792267
2,3,0.001114697228050224,0.08224559365230419,0.9365249050415474,0.3725264174496291,0.4524783683324495
5,4,0.0047226345996309056,0.18763885310709005,0.9672129693585299,0.5086691974412557,0.6302713532038517
5,4,0.019893397940992725,0.2074620952013504,0.8394771705002408,0.42964826437110204,0.5581247846880502
4,5,0.004999094985649933,0.4178100329980448,0.8051904278330483,0.6310258615106086,0.6498801384645978
3,5,0.0329759605962675,0.47029286652421426,0.6774725015700429,0.5884825928347358,0.47844221618823357
3,5,0.012635163334067685,0.4744221512799828,0.6946950069261084,0.7024399563745272,0.7377598065315709
2,5,0.008509938227344884,0.4906109378543302,0.6552591249234607,0.5586967059636484,0.35001194946971714
5,4,0.04683630200619418,0.18226402230790134,0.7004307894528714,0.4645772210007654,0.6798423642604967
5,4,0.011946803335144598,0.21429249432876313,0.8801858661304526,0.44561065675431166,0.5561459033864795
3,5,0.008575855310018424,0.3628163491841367,0.8088653800678617,0.6599181809671602,0.7301281299092033
5,3,0.04133645278906107,0.20998814284287232,0.730750148239431,0.4761147641961003,0.6832850498676646
4,3,0.017431154097175983,0.38039748037547355,0.8684633510640942,0.6859839965213679,0.7607960770426834
2,5,0.012879890510786147,0.3732248321633678,0.7741245315331025,0.6817087054855986,0.5081237261912563
5,4,0.013500177311492875,0.18010735362098895,0.6359707342215615,0.2483374483203254,0.32284888257474986
4,5,0.004232401193882405,0.4341351719003879,0.9038066933098021,0.6233146430714878,0.609584890473523
2,5,0.005178733598602723,0.4410201832367992,0.7009173525913672,0.5331766953314641,0.36134394717430396
3,5,0.01959350317754443,0.4162922425111652,0.740282074071027,0.6184504509604003,0.5642854715090226
4,4,0.003721438292564059,0.1935054145972726,0.9654132109613998,0.6231796455639456,0.7520361940491476
2,5,0.004062394712422158,0.2495549958935715,0.8539465850216963,0.6889315744532072,0.7088677851367853
3,5,0.0042923826507802925,0.4468494524917658,0.7518235430771862,0.6623041823971669,0.6888168878152136
3,4,0.001050443642938831,0.4213030444475589,0.8625686421908979,0.7010697488260687,0.7721526669467758
5,5,0.0387041427593101,0.3217894702954821,0.6220462948364988,0.6055664794412423,0.7633423863886601
