Parameter Set,Median Duration,Duration CV,Median Rise Time,Rise Time CV,Initiation Probability,Total Events
Standard Parameters,17.235344706894125,0.7846568863585297,11.365227304546082,0.8216886002981771,3.44,172
Standard,16.200324006480116,0.8304618296509721,10.810216204324092,0.8956670967990593,3.14,157
Low ComS Expression,15.540310806216127,0.8923120543805019,9.755195103902073,0.9252400708163439,4.6,230
High ComS Expression,17.44034880697614,0.7325761715316879,11.510230204604099,0.7737128905217876,2.42,121
Weak ComK Feedback,16.700334006680123,0.924476446792335,10.680213604272069,0.9538286944382904,2.5,125
Strong ComK Feedback,14.24028480569612,0.9154140924541285,9.690193803876078,0.9345913765554132,4.66,233
