Parameter,Correlation with Median Duration,Correlation with Median Rise Time
ComK Hill (n),0.28220650924987445,0.18534484486345762
ComS Hill (p),0.24151606505766826,-0.015337664963057943
ComK Basal (ak),0.002409520229207533,-0.2903321223722577
ComK Feedback (bk),0.6855396104092144,0.2511961519219696
ComS Expression (bs),0.008934013707045095,0.23348430371027443
ComK Activation (k0),0.5206679352701292,0.41312404217471477
ComS Repression (k1),0.2782503734040602,0.5445783007438625
