Parameter,Correlation with Median Duration,Correlation with Median Rise Time
ComK Hill (n),0.12262494620404099,0.10099852820426758
ComS Hill (p),0.36360177412846545,0.3016243154540814
ComK Basal (ak),-0.4038566576180073,-0.5380775386552009
ComK Feedback (bk),0.3014111629951898,0.13738501895416838
ComS Expression (bs),0.338355778626368,0.6230834437499222
ComK Activation (k0),0.49455296346301597,0.4543424951461195
ComS Repression (k1),0.6385049367156518,0.6754262753118186
