n,p,ak,bk,bs,k0,k1
4,5,0.00754051458370267,0.21146930070354664,0.9059871052075903,0.36512559675330303,0.393986926690175
3,3,0.0016523544030797115,0.26708857481834203,0.9166151732436888,0.570440649140141,0.6776105915625261
5,5,0.0025774827576361915,0.22548645711303827,0.795664260677309,0.5416361680006152,0.7797371437857712
3,4,0.02594448650951441,0.2313064633260184,0.737142406540405,0.5329426739478091,0.7386832261968164
3,5,0.006105673880242188,0.08201922120612805,0.8462111818182888,0.3498483912601489,0.7137793546341851
3,5,0.007123575189974414,0.3228722259244096,0.8868505279929153,0.5262423272176494,0.38864533656182665
3,5,0.014134076911159144,0.3156115965457774,0.843677028817233,0.7087809222226797,0.6887418742202367
3,4,0.022302770548020486,0.405423528967932,0.7769503967139918,0.6455798308718996,0.61070157020277
3,4,0.005247661209905516,0.34981277005825834,0.878475957080426,0.721535894791969,0.766461856536224
3,4,0.007366021740165014,0.19906653947959602,0.9361358365951188,0.7450415759443207,0.7718303212442128
3,5,0.034260468943597855,0.4917584041134982,0.72811973926423,0.7922539613682293,0.774301046413586
3,4,0.026313045652582412,0.4462039150758716,0.6627641401229398,0.5867264228615643,0.5725816545281857
3,5,0.01582269389378298,0.3318355995193538,0.6577682993692171,0.4652530361324995,0.49397266844366816
3,5,0.004225353246277369,0.3679136733991079,0.6229686587546927,0.5451409994676131,0.684384761802643
4,4,0.003572911327620037,0.41591526785948796,0.8667175285282096,0.5296632062505029,0.5045519696453296
4,5,0.009129976029675874,0.36255178212905237,0.745154672614885,0.4937209465012204,0.535106550826546
5,5,0.0019691093177145046,0.28680685366322356,0.8327066522085476,0.5402593288435212,0.6886561669865199
5,5,0.01965625850031031,0.287124114958374,0.8257889138281657,0.5057318321383246,0.5779265193469928
4,5,0.009353494547733422,0.19706238577881724,0.7422917946509939,0.37407572371942377,0.5139133574177255
2,5,0.003322745268627234,0.38368539060114654,0.8956729812203554,0.7939936285636788,0.5850565566047485
3,4,0.023691370486071072,0.39438272999043716,0.7243059127349217,0.6287574603667561,0.6682359066244696
3,4,0.022203232381484642,0.2805637824390629,0.7350617629592278,0.5164153671865231,0.6214344724494341
4,3,0.012830424467082026,0.3795567385201553,0.9188694494059915,0.6516447331458783,0.6834275845945426
3,3,0.0021836882738018827,0.29289031469042837,0.7724933705568968,0.4476731316509739,0.5633701370881037
3,5,0.0017095940619780954,0.35888793981995104,0.9324819040893481,0.4984317152617979,0.3814488176488604
3,5,0.025139919983606884,0.42940125952951225,0.6492467793129926,0.3876910581145292,0.2790381427698688
3,5,0.0033496715329850374,0.3867762126530323,0.8779737453881894,0.7353288493613939,0.7044952211112738
4,5,0.0015111182357762324,0.1121873539848626,0.8851294689619091,0.3231212796452859,0.45905625206722117
2,3,0.0021544352929834124,0.3054334197729235,0.8159656848477471,0.49606294033295323,0.4610322359805614
3,5,0.004128487667038484,0.1653538862881631,0.8602707294542573,0.3552551913958917,0.422131485996929
5,5,0.00218503382288651,0.05671866356298236,0.9713095044372622,0.2900877323285921,0.420043771087107
3,5,0.01698757146685652,0.31216472360612957,0.6932523667738131,0.4883083469983119,0.5616341815242724
5,5,0.027553545256857954,0.2582683658798652,0.7118836730183431,0.3427919323708094,0.3601810882012872
5,4,0.009938027100475772,0.24452097227731162,0.788897986772745,0.38131189713411895,0.45100261869862346
5,4,0.022258267831018332,0.20791121697189752,0.6883810698307259,0.3557861004782409,0.46869190795647064
3,5,0.02147173341811785,0.1626578400746328,0.7475205826709732,0.35740007232241877,0.4499202489683415
2,2,0.012880957781199937,0.4522057389530873,0.7874851591035258,0.7141795337207526,0.6532777366747389
4,5,0.010078280911096627,0.20014071141826412,0.879647475768674,0.377472284443902,0.4461439105715034
4,4,0.022428253239401376,0.3049799703783974,0.7613223902886306,0.5805732813767172,0.7199434677412067
3,5,0.00502331788982885,0.3599095919375107,0.8141455355325291,0.606696091816626,0.6494107321718786
2,4,0.009059825350232874,0.48001280614377334,0.7083578088518969,0.5705305999598722,0.3520608023553522
2,5,0.004648299134339369,0.42023339136857407,0.7892046580416825,0.6281558453680764,0.42214047706363095
3,5,0.006489910085499224,0.23542020039562744,0.9266110323304467,0.7923215906413035,0.7513094067164094
3,4,0.0019892182588697933,0.21598029077695974,0.7694477887501717,0.4279379774334774,0.6166955239786995
5,5,0.018258163861475347,0.3710940797586779,0.8385907248412152,0.6036295319548137,0.6295547636960797
3,4,0.04671388211721179,0.4392979718958736,0.6383073007974494,0.7264936162013969,0.7563068757665279
5,5,0.00182503822610876,0.32023810651298246,0.7893082386218235,0.4431156534720049,0.48288128686398474
4,4,0.004324042031771707,0.27287866010918693,0.8371234912980927,0.4055597948927801,0.4489022110856723
4,4,0.011932220015770201,0.12652815783772625,0.892878950128054,0.5096687458633853,0.7875591777253361
4,4,0.0022996351124574795,0.09375656063229673,0.8616618366484069,0.338123814752915,0.6618377871107142
3,4,0.008883751194236015,0.4288691484365305,0.7683348873669238,0.5320575740884634,0.5059132136854521
3,4,0.005418508771455238,0.20084623732978552,0.9255333288660009,0.6848288207949302,0.7963725070554437
5,4,0.0019376357035826655,0.1211436090615465,0.9428260964165593,0.4586294718725018,0.7576891937151164
3,2,0.0018034168889456857,0.30356555531422025,0.9623220202209833,0.4828064102334863,0.5410164853236408
2,4,0.014563756530009426,0.48409525922413754,0.7610398141107311,0.7922989736954811,0.5917625264369852
5,5,0.02025154359591145,0.1918413908353368,0.6194898649645311,0.3714985792625618,0.5750874659664617
5,5,0.03296096132614793,0.32366431550335006,0.7637977797128718,0.588415286358468,0.65642912161054
5,5,0.0034938486962785243,0.1621436476249302,0.8591362621641829,0.46360815325756183,0.671241296703325
2,3,0.00337188703686738,0.28087492271729464,0.8587626302002729,0.6808524570198982,0.7213048232309851
4,5,0.025666408441495276,0.21726891474957982,0.7464430219384682,0.4734357548148139,0.6194384406952707
3,5,0.011363863414557702,0.3828578344942007,0.7649124237721335,0.6165111305036017,0.6048665026518711
3,5,0.006370109187820325,0.47538144844409524,0.7785507876416874,0.42082617357995183,0.3150156624924637
3,5,0.0187441637596956,0.28274812366963387,0.7015133551579091,0.3632502001787593,0.3406006757518304
5,4,0.04211172334086602,0.16658275175877474,0.7399835884806756,0.504642067424294,0.788624055427684
5,5,0.02247683178379625,0.34297134907882204,0.7503237054522692,0.6233721455512267,0.7259586468651336
5,5,0.004647876106103696,0.4468973817228712,0.9647011464428396,0.7100370536496508,0.7044927964509939
3,5,0.0041821903670430025,0.23232117662061552,0.9303810415922189,0.5126233420344147,0.39489803354246866
4,4,0.005041167263059941,0.21267607086992008,0.8249580963462939,0.500569059932447,0.7140959289777984
2,4,0.01235190819370472,0.4424384479910932,0.6932942520878442,0.5529037542686377,0.3590771369386692
4,5,0.030301480643950628,0.2977469851112997,0.7767261888825548,0.5231278992513271,0.5626033221583971
5,5,0.024857500844041595,0.4083120190406622,0.7658181013729911,0.7211296476228923,0.7893971976122811
2,3,0.011159807354927453,0.30275406285543704,0.7669257775220768,0.549305436398035,0.5128986000217066
4,5,0.026394330425546647,0.4603427545478331,0.6895156443513032,0.7011653843333967,0.730677290746728
4,4,0.019021499239699896,0.295299420317105,0.8396970459840756,0.5523361146027806,0.6305919217398608
5,3,0.018286494262311874,0.25270957879879175,0.6608449354262507,0.4607219377973985,0.6979081881911768
5,3,0.01784185842172433,0.13238859933260394,0.8228426909736876,0.2585600636652873,0.36469558827287346
2,4,0.004779970694640676,0.46828914507882696,0.8142105098711512,0.7057302371396621,0.40480732813890485
5,5,0.03883156140871203,0.2766344565378046,0.6518027159226492,0.4646002821438616,0.545503498275522
4,4,0.005035734495124141,0.19723637339073985,0.8107413965220565,0.3921809180069352,0.5689372286997161
3,5,0.007087243875482555,0.3896698304917599,0.8627058332453563,0.7264490824358696,0.6960623376326951
2,5,0.010612960031987646,0.2807663028162337,0.8308086796642855,0.7753742233162662,0.717369919447802
3,5,0.0079319208062191,0.3738369346111428,0.8446322996022386,0.4795971154610234,0.3809414046018572
4,4,0.019007232577593337,0.15071584937571306,0.8249277440179046,0.4686672839637575,0.7637658197806452
2,5,0.004388542897707891,0.21302838756962605,0.889560405696664,0.7583600288665502,0.5931087462799124
4,5,0.005721989525031302,0.45389258339076566,0.9458985037863824,0.7299927881814903,0.7284518016632158
5,5,0.01215546736417969,0.4802191817171296,0.7256739188059386,0.7464967091678831,0.781510274793207
3,5,0.007568012060067954,0.15432272193247287,0.753642414007053,0.3093490479456731,0.4224812099829537
3,5,0.016034059395135976,0.2313731568357401,0.6597058719632636,0.38430643101180295,0.49709948061265324
5,4,0.005367017495943887,0.46335971508261736,0.9171773833016674,0.763882202068991,0.7641197139040421
4,4,0.01486964646075914,0.20785823960727368,0.8887308330261261,0.5500684196617431,0.7664955954303458
4,4,0.0015824778145518354,0.25734083234367133,0.9356186136444358,0.3291371526813547,0.3349898442317646
3,5,0.02274683546045767,0.3867511226328883,0.7926029995682511,0.7212421016856261,0.7367337576967878
4,4,0.01316927235342532,0.29266625922677914,0.6306981328234701,0.45272529116654614,0.6106793738271213
3,4,0.02014344120831181,0.41542970542134233,0.6526026552706472,0.44151308379239596,0.38965532612387044
5,4,0.001472057168333863,0.11542120507418271,0.9794260212119126,0.49506740163072427,0.7879383879892592
3,3,0.00997797060617922,0.16726013414075103,0.7643466233614163,0.267115396228248,0.3638152661247732
5,4,0.01413703052096289,0.1174191068871783,0.899737301964485,0.45878630841733536,0.7583840283089609
5,5,0.024050173626845504,0.19202917463973734,0.6597525071285112,0.3898687974118367,0.5736412336368653
3,3,0.011691727072529794,0.18280304268043263,0.8391459521371112,0.40823627280025726,0.5671510693055438
2,4,0.007696367416542078,0.39937446291496553,0.8199755708833708,0.6732680863392497,0.5614918122295306
3,5,0.004669875246450732,0.25966434323216525,0.8506945254282735,0.4108916813404638,0.40115525125730733
4,4,0.022900406025727457,0.3284604099487464,0.7514497356990455,0.49232034836387223,0.5359073443147921
