Amplification Factor,Total Events,Events/Sim,Mean Duration,Median Duration,Duration CV,Mean Rise Time,Median Rise Time,Rise Time CV
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0.1,9.003180063601272,8.75017500350009,0.5156470278847387,5.435108702174043,5.305106102122025,0.5457944048456195
5,108,1.08,11.912090093653724,11.095221904438091,0.6330714512443995,7.027825741700019,6.085121702434037,0.6350303566843758
7,199,1.99,17.21662573954997,14.320286405728154,0.7729403592326697,10.793783714870278,8.900178003560072,0.8057750495451949
10,364,3.64,21.68441720482761,18.04536090721811,0.8111136808777168,13.866046551700265,12.140242804856086,0.8294341322538432
