Parameter Set,Count,Mean Duration,Median Duration,CV Duration,Mean Rise,Median Rise,CV Rise,Mean Ratio,Median Ratio
Standard Parameters,112,15.497631381199053,11.47522950459009,0.8537763483325137,9.81189266642476,7.160143202864063,0.9628695953749637,0.6135001792870055,0.6083999096117685
Excitable Config 1,203,74.37291602974916,57.65115302306043,0.9202715205361235,29.34955250829155,19.510390207804164,1.1099358808785014,0.424701417266172,0.39448669201520914
Excitable Config 2,229,35.565864155711054,29.95059901198026,0.7704835439048705,19.346238453153337,15.520310406208125,0.7923375983550331,0.5820114386293214,0.586301369863009
Excitable Config 3,81,30.038748923126615,26.940538810776218,0.6588652555053726,16.63687594739549,14.450289005780121,0.6472867159348322,0.5971502076714273,0.5870056497175148
Excitable Config 4,211,56.281646959953406,45.67091341826837,0.7775918779543639,26.377399585906407,21.030420608412186,0.817641196266699,0.5118834803537807,0.4871452420701177
Excitable Config 5,25,63.46766935338707,62.53125062501246,0.523590039542772,34.40668813376268,34.920698413968296,0.49049615375316,0.5668543520408541,0.5733840304182517
Excitable Config 6,139,37.01692738890749,31.880637612752253,0.6308298359330011,23.459965602189744,21.220424408488157,0.6185033038084912,0.6599735246917532,0.6792452830188662
Excitable Config 7,129,32.30692520827161,28.590571811436234,0.6230511296792134,18.555332346957012,16.460329206584106,0.6066228717187996,0.615106641208817,0.6310096153846156
Excitable Config 8,269,27.890855214873817,23.11046220924419,0.6717021083834894,15.201567971879886,11.820236404728092,0.738786590580517,0.5728587583257884,0.5858267716535429
Excitable Config 9,106,78.41553057476243,66.95133902678053,0.6836000307575983,33.01971699811355,25.19050381007621,0.7914494264009445,0.4675740361912455,0.40719662326576556
Excitable Config 10,91,91.78820939056143,72.56145122902458,0.7028309319569409,34.72278236773527,26.330526610532218,0.6809614358956341,0.4440406173340033,0.40889638179224536
High ComK Basal (2x),128,15.397886082721651,12.675253505070089,0.7720533573544126,9.537612627252543,8.150163003260047,0.7533055704160162,0.6197552460876832,0.6156043756816929
High ComK Feedback (1.5x),226,15.027822680347409,10.400208004160078,0.8392697170575658,9.044561422201895,6.075121502430033,0.8726168182468493,0.6116457204522681,0.6152871621621647
High ComS Expression (1.5x),237,17.96626649832575,14.810296205924118,0.7093184425868219,11.005958515794791,9.130182603652074,0.7709338229039078,0.6115344350613848,0.6195519348268844
Low ComS Expression (0.75x),49,16.162772235036538,11.100222004440084,0.7892670328672783,10.049792832591345,7.120142402848046,0.8030976166548441,0.6109093249420842,0.6306306306306326
