Parameter,Correlation with Median Duration,Correlation with Median Rise Time
ComK Hill (n),0.03638302105013291,0.06383421943265956
ComS Hill (p),0.07975235154115097,-0.18654207563868155
ComK Basal (ak),-0.0193563129248326,-0.2360389045621884
ComK Feedback (bk),0.516630840802206,0.2562473806720125
ComS Expression (bs),0.011467451180823783,0.3965438643092297
ComK Activation (k0),0.2747626338863142,0.34061244413233943
ComS Repression (k1),0.18941675313162845,0.38167720844016434
