Parameter Set,Median Duration,Duration CV,Median Rise Time,Rise Time CV,Initiation Probability,Total Events
Standard Parameters,14.440288805776106,0.8457607318208656,9.510190203804086,0.9240610521300147,3.38,169
High ComK Basal (2x),15.560311206224128,0.9242246046802779,9.870197403948112,1.0052798120063169,4.46,223
High ComK Feedback (1.5x),14.600292005840117,0.9301355176164463,9.270185403708084,0.9362385921138884,5.78,289
High ComS Expression (1.5x),17.060341206824162,0.7653204934086076,11.055221104422099,0.8067539031055767,5.68,284
Low ComS Expression (0.75x),16.96533930678612,0.860951218435922,10.305206104122078,0.8628437974642099,2.32,116
