Parameter Set,Count,Mean Duration,Median Duration,CV Duration,Mean Rise,Median Rise,CV Rise,Mean Ratio,Median Ratio
Standard Parameters,169,19.71980268007727,14.440288805776106,0.8457607318208656,13.058012639542733,9.510190203804086,0.9240610521300147,0.6534675515055076,0.6402307137707273
High ComK Basal (2x),223,20.512293653944823,15.560311206224128,0.9242246046802779,13.457713100450349,9.870197403948112,1.0052798120063169,0.6526703065288035,0.6614639397201286
High ComK Feedback (1.5x),289,20.275284398421533,14.600292005840117,0.9301355176164463,13.021229282717144,9.270185403708084,0.9362385921138884,0.6601994385258992,0.6810996563573884
High ComS Expression (1.5x),284,21.649411861476665,17.060341206824162,0.7653204934086076,14.293067551491871,11.055221104422099,0.8067539031055767,0.6607284256515897,0.6790915395284297
Low ComS Expression (0.75x),116,21.134474413626204,16.96533930678612,0.860951218435922,13.82225920380477,10.305206104122078,0.8628437974642099,0.65445561678541,0.6495233210831493
