Parameter Set,Median Duration,Duration CV,Median Rise Time,Rise Time CV,Initiation Probability,Total Events
Standard Parameters,10.910218204364071,0.7255422647076323,5.960119202384021,0.6986382183781183,1.1,55
Excitable Config 1,23.890477809556216,0.6767219334886104,12.680253605072096,0.6992139624129022,4.66,233
Excitable Config 2,30.045600912018244,0.7641325810394908,13.060261205224094,0.698177826915207,3.08,154
Excitable Config 3,18.150363007260147,0.719152068311333,8.815176303526066,0.7230885596856998,6.72,336
Excitable Config 4,38.41076821536433,0.8303951214389956,14.870297405948122,0.9346903432653764,4.78,239
Excitable Config 5,38.11076221524428,0.477573524132961,19.540390807816152,0.450417054216581,1.62,81
Excitable Config 6,18.460369207384133,0.6490649104997591,8.610172203444051,0.7560509559033141,4.94,247
Excitable Config 7,54.80109602192044,0.4221545439513749,27.460549210984226,0.3696196525847957,0.7,35
Excitable Config 8,35.57071141422827,0.49654104068203414,16.410328206564145,0.44966447062525944,1.14,57
Excitable Config 9,82.78165563311265,0.399505690196814,28.980579611592248,0.34138406511076347,0.18,9
Excitable Config 10,34.75069501390027,0.515678591166529,18.26036520730412,0.48361853964387685,2.3,115
High ComK Basal (2x),8.755175103502069,0.5650865800303635,5.1301026020520375,0.6362153402342721,1.24,62
High ComK Feedback (1.5x),10.8302166043321,0.599639606828181,6.47512950259005,0.6505624578869218,3.2,160
High ComS Expression (1.5x),12.495249904998118,0.5966228778127802,7.470149402988071,0.5965238279974717,3.8,190
Low ComS Expression (0.75x),15.040300806016148,0.5787704163454621,7.7851557031140715,0.6673193034874004,0.32,16
