Amplification Factor,Total Events,Events/Sim,Mean Duration,Median Duration,Duration CV,Mean Rise Time,Median Rise Time,Rise Time CV
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,0.08,6.0226204524090505,5.2201044020880545,0.5671999359478108,3.5288205764115244,3.1100622012440056,0.5719502069038214
5,114,1.14,12.312614673346095,11.230224604492083,0.5778802443718809,7.433569724026059,7.015140302806074,0.6296520635885349
7,207,2.07,15.346007403239852,10.870217404348097,0.8084849672946464,9.474392386398453,7.130142602852061,0.8305719285602324
10,341,3.41,22.892774571033943,17.1803436068721,0.8483015400854541,14.973613255256307,11.680233604672111,0.844125022303204
